month,percent_full,conservation_storage
2022 Oct,83.56451612903226,316546.6129032258
2022 Nov,81.55666666666667,308940.9
2022 Dec,80.34516129032258,304315.77419354836
2023 Jan,79.00322580645161,299239.87096774194
2023 Feb,78.09642857142858,295769.71428571426
2023 Mar,77.01290322580645,291696.29032258067
2023 Apr,76.25666666666666,288865.1666666667
2023 May,76.14516129032258,288427.3870967742
2023 Jun,75.41333333333334,285652.63333333336
2023 Jul,72.91612903225807,276193.03225806454
2023 Aug,69.74516129032259,264155.77419354836
2023 Sep,66.63333333333333,252411.93333333332
2023 Oct,64.1258064516129,242921.38709677418
2023 Nov,62.516666666666666,236811.8
2023 Dec,61.019354838709674,231141.70967741936
2024 Jan,60.10645161290323,227707.1935483871
2024 Feb,60.46551724137931,229000.7931034483
2024 Mar,60.02903225806452,227367.96774193548
2024 Apr,59.20666666666666,224247.3
2024 May,58.16129032258065,220295.93548387097
2024 Jun,57.13666666666667,216435.7
2024 Jul,56.05483870967742,212351.93548387097
2024 Aug,56.987096774193546,215862.25806451612
2024 Sep,55.46666666666667,210081.56666666668
2024 Oct,53.538709677419355,202797.16129032258
2024 Nov,52.04333333333333,197157.8
2024 Dec,50.76129032258064,192294.70967741936
